timepoint,rep,guide,module,n_source,mean_source,mean_ntc,delta,p
Day7,rep1,sgCd52,cd8_like,8,0.3976934552192688,0.06536368280649185,0.33232977986335754,0.059771403670310974
Day7,rep1,sgCd52,ifn_response,8,0.29221057891845703,0.04345608875155449,0.24875448644161224,0.21077284216880798
Day7,rep1,sgCd52,malignant,8,0.14788487553596497,0.026542017236351967,0.12134286016225815,0.38981759548187256
Day7,rep1,sgCxcl16,cd8_like,10,-0.12586770951747894,0.06536368280649185,-0.1912313997745514,0.20411457121372223
Day7,rep1,sgCxcl16,ifn_response,10,-0.04633254185318947,0.04345608875155449,-0.08978863060474396,0.6498677730560303
Day7,rep1,sgCxcl16,malignant,10,-0.11527533829212189,0.026542017236351967,-0.1418173611164093,0.17802496254444122
Day7,rep1,sgDdit3,cd8_like,7,-0.12586770951747894,0.06536368280649185,-0.1912313997745514,0.28827139735221863
Day7,rep1,sgDdit3,ifn_response,7,-0.11939724534749985,0.04345608875155449,-0.16285333037376404,0.28602054715156555
Day7,rep1,sgDdit3,malignant,7,-0.1152753233909607,0.026542017236351967,-0.1418173462152481,0.25992709398269653
Day7,rep1,sgErgic2,cd8_like,14,-0.03762773424386978,0.06536368280649185,-0.10299141705036163,0.4814927577972412
Day7,rep1,sgErgic2,ifn_response,14,0.010613279417157173,0.04345608875155449,-0.03284280747175217,0.7824804186820984
Day7,rep1,sgErgic2,malignant,14,0.09992147982120514,0.026542017236351967,0.07337946444749832,0.5979955196380615
Day7,rep1,sgFbxo7,cd8_like,43,0.020846962928771973,0.06536368280649185,-0.04451671987771988,0.6736196875572205
Day7,rep1,sgFbxo7,ifn_response,43,0.06733280420303345,0.04345608875155449,0.023876715451478958,0.8995847105979919
Day7,rep1,sgFbxo7,malignant,43,0.05021240562200546,0.026542017236351967,0.023670388385653496,0.3740098774433136
Day7,rep1,sgFlot1,cd8_like,39,0.10862712562084198,0.06536368280649185,0.04326344281435013,0.5540329813957214
Day7,rep1,sgFlot1,ifn_response,39,-0.04467689245939255,0.04345608875155449,-0.08813297748565674,0.195883646607399
Day7,rep1,sgFlot1,malignant,39,-0.008279935456812382,0.026542017236351967,-0.03482195362448692,0.9676411151885986
Day7,rep1,sgGata3,cd8_like,166,0.01961267925798893,0.06536368280649185,-0.04575100541114807,0.43659576773643494
Day7,rep1,sgGata3,ifn_response,166,0.07874881476163864,0.04345608875155449,0.03529272601008415,0.5975082516670227
Day7,rep1,sgGata3,malignant,166,0.07234456390142441,0.026542017236351967,0.04580254852771759,0.03409038856625557
Day7,rep1,sgGlb1l2,cd8_like,11,-0.009744688868522644,0.06536368280649185,-0.0751083716750145,0.6628971695899963
