gene,response,n_slices,n_cohorts,combined_p,direction_consistent,mean_delta,min_p,slices,cohorts,combined_q
Blnk,score_ifn_response,6,2,1.0416438993481252e-05,False,-0.27294800736485764,6.574641255153265e-08,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",1.3794743531907605e-05
Bcam,score_hypoxia,6,2,1.703018102145704e-05,False,0.11378390508170959,0.0057385019875646,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",2.1959970264510393e-05
Blnk,score_endothelial,6,2,1.940904239213496e-05,False,2594.2966952207503,8.586112650319496e-11,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",2.4385719928579822e-05
Bcam,score_ifn_response,6,2,1.9622823233891598e-05,False,0.011182395902172881,3.53009108525799e-08,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",2.4037958461517205e-05
Blnk,score_macrophage,6,2,4.811990827205458e-05,False,-1809.19975791815,9.515190609422798e-06,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",5.750915866660181e-05
Bcam,score_endothelial,6,2,4.9010076970992703e-05,False,0.038263377220150864,1.5959869165025016e-14,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",5.717842313282482e-05
Bcam,score_cd8_like,6,2,6.285927186113762e-05,False,-0.044443876637726094,8.58419653497691e-10,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",7.16303330510638e-05
Blnk,score_hypoxia,6,2,9.017101417822275e-05,False,0.4264123142430806,0.0015109551868056,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.00010041772033483896
Rab8a,score_macrophage,6,2,0.00011661828477661065,False,-0.04929423991438834,1.3809863158462282e-08,"M001,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.00012698435453453158
Cttn,score_malignant,7,2,0.0001199789645391044,False,0.09029535954937486,8.061711512325599e-08,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.00012780367961774162
Utrn,score_ifn_response,8,2,0.0004670452582854248,False,-0.07189245276707984,0.0015654230926162,"M001,M002,M003,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.0004869195245954429
Cttn,score_cd8_like,7,2,0.004817276646377218,False,-0.03840113939498195,0.0520134172143099,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.004917636576510076
Cttn,score_hypoxia,7,2,0.2030068688142564,False,0.18963540870854695,0.0264259231270338,"M001,M002,subQ-1,subQ-2,subQ-3,subQ-4,subQ-5","cohort1,cohort2",0.20300686881425642
