barcode	sample	clone_id	target_gene	x_um	y_um
s_008um_00391_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3128.0
s_008um_00405_00114-1	lm994	lm994_MC0005	Ccn1	912.0	3240.0
s_008um_00395_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3160.0
s_008um_00398_00123-1	lm994	lm994_MC0005	Ccn1	984.0	3184.0
s_008um_00400_00121-1	lm994	lm994_MC0005	Ccn1	968.0	3200.0
s_008um_00399_00131-1	lm994	lm994_MC0005	Ccn1	1048.0	3192.0
s_008um_00390_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3120.0
s_008um_00402_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3216.0
s_008um_00399_00140-1	lm994	lm994_MC0005	Ccn1	1120.0	3192.0
s_008um_00391_00136-1	lm994	lm994_MC0005	Ccn1	1088.0	3128.0
s_008um_00390_00132-1	lm994	lm994_MC0005	Ccn1	1056.0	3120.0
s_008um_00399_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3192.0
s_008um_00398_00120-1	lm994	lm994_MC0005	Ccn1	960.0	3184.0
s_008um_00388_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3104.0
s_008um_00401_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3208.0
s_008um_00396_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3168.0
s_008um_00391_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3128.0
s_008um_00389_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3112.0
s_008um_00389_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3112.0
s_008um_00391_00129-1	lm994	lm994_MC0005	Ccn1	1032.0	3128.0
s_008um_00405_00115-1	lm994	lm994_MC0005	Ccn1	920.0	3240.0
s_008um_00390_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3120.0
s_008um_00396_00136-1	lm994	lm994_MC0005	Ccn1	1088.0	3168.0
s_008um_00399_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3192.0
s_008um_00395_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3160.0
s_008um_00401_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3208.0
s_008um_00392_00141-1	lm994	lm994_MC0005	Ccn1	1128.0	3136.0
s_008um_00396_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3168.0
s_008um_00404_00114-1	lm994	lm994_MC0005	Ccn1	912.0	3232.0
s_008um_00405_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3240.0
s_008um_00392_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3136.0
s_008um_00394_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3152.0
s_008um_00387_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3096.0
s_008um_00401_00122-1	lm994	lm994_MC0005	Ccn1	976.0	3208.0
s_008um_00388_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3104.0
s_008um_00400_00118-1	lm994	lm994_MC0005	Ccn1	944.0	3200.0
s_008um_00404_00115-1	lm994	lm994_MC0005	Ccn1	920.0	3232.0
s_008um_00402_00121-1	lm994	lm994_MC0005	Ccn1	968.0	3216.0
s_008um_00400_00128-1	lm994	lm994_MC0005	Ccn1	1024.0	3200.0
s_008um_00410_00117-1	lm994	lm994_MC0005	Ccn1	936.0	3280.0
s_008um_00389_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3112.0
s_008um_00398_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3184.0
s_008um_00406_00115-1	lm994	lm994_MC0005	Ccn1	920.0	3248.0
s_008um_00396_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3168.0
s_008um_00405_00116-1	lm994	lm994_MC0005	Ccn1	928.0	3240.0
s_008um_00396_00132-1	lm994	lm994_MC0005	Ccn1	1056.0	3168.0
s_008um_00393_00138-1	lm994	lm994_MC0005	Ccn1	1104.0	3144.0
s_008um_00407_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3256.0
s_008um_00402_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3216.0
s_008um_00391_00130-1	lm994	lm994_MC0005	Ccn1	1040.0	3128.0
s_008um_00392_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3136.0
s_008um_00402_00118-1	lm994	lm994_MC0005	Ccn1	944.0	3216.0
s_008um_00389_00127-1	lm994	lm994_MC0005	Ccn1	1016.0	3112.0
s_008um_00408_00117-1	lm994	lm994_MC0005	Ccn1	936.0	3264.0
s_008um_00400_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3200.0
s_008um_00398_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3184.0
s_008um_00395_00136-1	lm994	lm994_MC0005	Ccn1	1088.0	3160.0
s_008um_00396_00131-1	lm994	lm994_MC0005	Ccn1	1048.0	3168.0
s_008um_00387_00134-1	lm994	lm994_MC0005	Ccn1	1072.0	3096.0
s_008um_00394_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3152.0
s_008um_00406_00118-1	lm994	lm994_MC0005	Ccn1	944.0	3248.0
s_008um_00409_00118-1	lm994	lm994_MC0005	Ccn1	944.0	3272.0
s_008um_00391_00137-1	lm994	lm994_MC0005	Ccn1	1096.0	3128.0
s_008um_00391_00139-1	lm994	lm994_MC0005	Ccn1	1112.0	3128.0
s_008um_00397_00129-1	lm994	lm994_MC0005	Ccn1	1032.0	3176.0
s_008um_00387_00129-1	lm994	lm994_MC0005	Ccn1	1032.0	3096.0
s_008um_00401_00123-1	lm994	lm994_MC0005	Ccn1	984.0	3208.0
s_008um_00397_00130-1	lm994	lm994_MC0005	Ccn1	1040.0	3176.0
s_008um_00402_00116-1	lm994	lm994_MC0005	Ccn1	928.0	3216.0
s_008um_00405_00119-1	lm994	lm994_MC0005	Ccn1	952.0	3240.0
s_008um_00405_00111-1	lm994	lm994_MC0005	Ccn1	888.0	3240.0
s_008um_00402_00134-1	lm994	lm994_MC0005	Ccn1	1072.0	3216.0
s_008um_00404_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3232.0
s_008um_00390_00136-1	lm994	lm994_MC0005	Ccn1	1088.0	3120.0
s_008um_00391_00141-1	lm994	lm994_MC0005	Ccn1	1128.0	3128.0
s_008um_00400_00120-1	lm994	lm994_MC0005	Ccn1	960.0	3200.0
s_008um_00417_00119-1	lm994	lm994_MC0006	Ccn1	952.0	3336.0
s_008um_00412_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3296.0
s_008um_00414_00113-1	lm994	lm994_MC0006	Ccn1	904.0	3312.0
s_008um_00413_00114-1	lm994	lm994_MC0006	Ccn1	912.0	3304.0
s_008um_00416_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3328.0
s_008um_00416_00119-1	lm994	lm994_MC0006	Ccn1	952.0	3328.0
s_008um_00412_00113-1	lm994	lm994_MC0006	Ccn1	904.0	3296.0
s_008um_00416_00122-1	lm994	lm994_MC0006	Ccn1	976.0	3328.0
s_008um_00414_00118-1	lm994	lm994_MC0006	Ccn1	944.0	3312.0
s_008um_00412_00121-1	lm994	lm994_MC0006	Ccn1	968.0	3296.0
s_008um_00414_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3312.0
s_008um_00413_00113-1	lm994	lm994_MC0006	Ccn1	904.0	3304.0
s_008um_00411_00115-1	lm994	lm994_MC0006	Ccn1	920.0	3288.0
s_008um_00414_00112-1	lm994	lm994_MC0006	Ccn1	896.0	3312.0
s_008um_00414_00119-1	lm994	lm994_MC0006	Ccn1	952.0	3312.0
s_008um_00413_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3304.0
s_008um_00413_00118-1	lm994	lm994_MC0006	Ccn1	944.0	3304.0
s_008um_00415_00113-1	lm994	lm994_MC0006	Ccn1	904.0	3320.0
s_008um_00417_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3336.0
s_008um_00415_00114-1	lm994	lm994_MC0006	Ccn1	912.0	3320.0
s_008um_00436_00143-1	lm994	lm994_MC0007	Ccn1	1144.0	3488.0
s_008um_00431_00144-1	lm994	lm994_MC0007	Ccn1	1152.0	3448.0
s_008um_00434_00147-1	lm994	lm994_MC0007	Ccn1	1176.0	3472.0
s_008um_00437_00145-1	lm994	lm994_MC0007	Ccn1	1160.0	3496.0
s_008um_00437_00147-1	lm994	lm994_MC0007	Ccn1	1176.0	3496.0
s_008um_00433_00143-1	lm994	lm994_MC0007	Ccn1	1144.0	3464.0
s_008um_00436_00146-1	lm994	lm994_MC0007	Ccn1	1168.0	3488.0
s_008um_00433_00146-1	lm994	lm994_MC0007	Ccn1	1168.0	3464.0
s_008um_00434_00149-1	lm994	lm994_MC0007	Ccn1	1192.0	3472.0
s_008um_00435_00142-1	lm994	lm994_MC0007	Ccn1	1136.0	3480.0
s_008um_00431_00142-1	lm994	lm994_MC0007	Ccn1	1136.0	3448.0
s_008um_00430_00143-1	lm994	lm994_MC0007	Ccn1	1144.0	3440.0
s_008um_00434_00144-1	lm994	lm994_MC0007	Ccn1	1152.0	3472.0
s_008um_00435_00146-1	lm994	lm994_MC0007	Ccn1	1168.0	3480.0
s_008um_00435_00149-1	lm994	lm994_MC0007	Ccn1	1192.0	3480.0
s_008um_00434_00139-1	lm994	lm994_MC0007	Ccn1	1112.0	3472.0
s_008um_00434_00143-1	lm994	lm994_MC0007	Ccn1	1144.0	3472.0
s_008um_00433_00142-1	lm994	lm994_MC0007	Ccn1	1136.0	3464.0
s_008um_00434_00141-1	lm994	lm994_MC0007	Ccn1	1128.0	3472.0
s_008um_00385_00113-1	lm994	lm994_MC0008	Ccn1	904.0	3080.0
s_008um_00384_00113-1	lm994	lm994_MC0008	Ccn1	904.0	3072.0
s_008um_00385_00119-1	lm994	lm994_MC0008	Ccn1	952.0	3080.0
s_008um_00384_00117-1	lm994	lm994_MC0008	Ccn1	936.0	3072.0
s_008um_00380_00121-1	lm994	lm994_MC0008	Ccn1	968.0	3040.0
s_008um_00386_00120-1	lm994	lm994_MC0008	Ccn1	960.0	3088.0
s_008um_00381_00123-1	lm994	lm994_MC0008	Ccn1	984.0	3048.0
s_008um_00386_00116-1	lm994	lm994_MC0008	Ccn1	928.0	3088.0
s_008um_00383_00117-1	lm994	lm994_MC0008	Ccn1	936.0	3064.0
s_008um_00388_00119-1	lm994	lm994_MC0008	Ccn1	952.0	3104.0
s_008um_00381_00120-1	lm994	lm994_MC0008	Ccn1	960.0	3048.0
s_008um_00388_00112-1	lm994	lm994_MC0008	Ccn1	896.0	3104.0
s_008um_00387_00118-1	lm994	lm994_MC0008	Ccn1	944.0	3096.0
s_008um_00383_00120-1	lm994	lm994_MC0008	Ccn1	960.0	3064.0
s_008um_00385_00116-1	lm994	lm994_MC0008	Ccn1	928.0	3080.0
s_008um_00383_00121-1	lm994	lm994_MC0008	Ccn1	968.0	3064.0
s_008um_00387_00113-1	lm994	lm994_MC0008	Ccn1	904.0	3096.0
s_008um_00386_00119-1	lm994	lm994_MC0008	Ccn1	952.0	3088.0
s_008um_00388_00120-1	lm994	lm994_MC0008	Ccn1	960.0	3104.0
s_008um_00386_00114-1	lm994	lm994_MC0008	Ccn1	912.0	3088.0
s_008um_00388_00118-1	lm994	lm994_MC0008	Ccn1	944.0	3104.0
s_008um_00389_00114-1	lm994	lm994_MC0008	Ccn1	912.0	3112.0
