clone_id	target_gene_exposure	sample	section	target_cell_type	response	core_near	core_far	core_effect	hybrid_near	hybrid_far	hybrid_effect	same_direction	absolute_change	panel
lm994_MC0004	Ccn1	lm994	M002	Macrophage	cell_type_fraction	0.289381067961165	0.2023346303501945	0.0870464376109704	0.241263440860215	0.1676136363636363	0.0736498044965787	1.0	0.0133966331143917	Ccn1: macrophage fraction
lm994_MC0005	Ccn1	lm994	M002	Macrophage	cell_type_fraction	0.1593406593406593	0.0975	0.0618406593406593	0.1297964855657163	0.0862470862470862	0.04354939931863	1.0	0.0182912600220293	Ccn1: macrophage fraction
lm994_MC0006	Ccn1	lm994	M002	Macrophage	cell_type_fraction	0.0920416061925495	0.0133333333333333	0.0787082728592162	0.0866910866910866	0.0139860139860139	0.0727050727050727	1.0	0.0060032001541435	Ccn1: macrophage fraction
lm994_MC0007	Ccn1	lm994	M002	Macrophage	cell_type_fraction	0.1877233550557073	0.0941176470588235	0.0936057079968838	0.1292753623188405	0.0814249363867684	0.0478504259320721	1.0	0.0457552820648117	Ccn1: macrophage fraction
lm994_MC0008	Ccn1	lm994	M002	Macrophage	cell_type_fraction	0.2921978582355941	0.0433673469387755	0.2488305112968185	0.2597872895732742	0.0305555555555555	0.2292317340177186	1.0	0.0195987772790999	Ccn1: macrophage fraction
