anchor_id	patch_id	sample	day	replicate	guide	center_x	center_y	source_bins	mean_guide_total	mean_top_fraction	strict_fraction	edge_distance	posterior_mean	posterior_max
Day7_rep1_A000648	Day7_rep1_P000648	Day7_rep1	7	1	sgGata3	1849.0	8249.0	1	2.0	1.0	1.0	60.0	0.04968126	0.04968126
Day7_rep1_A000651	Day7_rep1_P000651	Day7_rep1	7	1	sgGata3	2049.0	10509.0	1	2.0	1.0	1.0	140.0	0.04968126	0.04968126
Day7_rep1_A000653	Day7_rep1_P000653	Day7_rep1	7	1	sgGata3	349.0	14049.0	1	2.0	1.0	1.0	120.0	0.04968126	0.04968126
Day7_rep1_A000664	Day7_rep1_P000664	Day7_rep1	7	1	sgGata3	10869.0	7509.0	1	2.0	1.0	1.0	160.0	0.04968126	0.04968126
Day7_rep1_A000672	Day7_rep1_P000672	Day7_rep1	7	1	sgGata3	10129.0	5569.0	1	2.0	1.0	1.0	900.0	0.04968126	0.04968126
Day7_rep1_A000673	Day7_rep1_P000673	Day7_rep1	7	1	sgGata3	529.0	14249.0	1	2.0	1.0	1.0	60.0	0.04968126	0.04968126
Day7_rep1_A000693	Day7_rep1_P000693	Day7_rep1	7	1	sgGata3	7959.0	14229.0	2	1.0	1.0	0.0	180.0	0.23945692	0.23945692
Day7_rep1_A000718	Day7_rep1_P000718	Day7_rep1	7	1	sgGata3	1289.0	13889.0	1	2.0	1.0	1.0	100.0	0.04968126	0.04968126
Day7_rep1_A000719	Day7_rep1_P000719	Day7_rep1	7	1	sgGata3	3389.0	14789.0	1	2.0	1.0	1.0	280.0	0.33290434	0.33290434
Day7_rep1_A000744	Day7_rep1_P000744	Day7_rep1	7	1	sgGata3	669.0	10849.0	1	2.0	1.0	1.0	200.0	0.04968126	0.04968126
Day7_rep1_A000752	Day7_rep1_P000752	Day7_rep1	7	1	sgGata3	13909.0	14109.0	1	2.0	1.0	1.0	240.0	0.33290434	0.33290434
Day7_rep1_A000780	Day7_rep1_P000780	Day7_rep1	7	1	sgGata3	7589.0	4069.0	1	2.0	1.0	1.0	120.0	0.33290434	0.33290434
Day7_rep1_A000785	Day7_rep1_P000785	Day7_rep1	7	1	sgGata3	1049.0	13169.0	1	2.0	1.0	1.0	140.0	0.04968126	0.04968126
Day7_rep1_A000787	Day7_rep1_P000787	Day7_rep1	7	1	sgGata3	7289.0	14289.0	1	2.0	1.0	1.0	220.0	0.04968126	0.04968126
Day7_rep1_A000789	Day7_rep1_P000789	Day7_rep1	7	1	sgGata3	229.0	14609.0	1	2.0	1.0	1.0	80.0	0.04968126	0.04968126
Day7_rep1_A000793	Day7_rep1_P000793	Day7_rep1	7	1	sgGata3	8529.0	10829.0	1	2.0	1.0	1.0	220.0	0.04968126	0.04968126
Day7_rep1_A000816	Day7_rep1_P000816	Day7_rep1	7	1	sgGata3	2129.0	13449.0	1	2.0	1.0	1.0	100.0	0.04968126	0.04968126
Day7_rep1_A000842	Day7_rep1_P000842	Day7_rep1	7	1	sgGata3	6089.0	4009.0	1	2.0	1.0	1.0	60.0	0.04968126	0.04968126
Day7_rep1_A000848	Day7_rep1_P000848	Day7_rep1	7	1	sgGata3	569.0	9949.0	1	2.0	1.0	1.0	100.0	0.33290434	0.33290434
Day7_rep1_A000888	Day7_rep1_P000888	Day7_rep1	7	1	sgGata3	2469.0	14569.0	1	2.0	1.0	1.0	400.0	0.04968126	0.04968126
Day7_rep1_A000891	Day7_rep1_P000891	Day7_rep1	7	1	sgGata3	2009.0	15109.0	1	2.0	1.0	1.0	100.0	0.04968126	0.04968126
Day7_rep1_A000898	Day7_rep1_P000898	Day7_rep1	7	1	sgGata3	4089.0	8169.0	1	2.0	1.0	1.0	500.0	0.04968126	0.04968126
Day7_rep1_A000906	Day7_rep1_P000906	Day7_rep1	7	1	sgGata3	2009.0	17029.0	1	2.0	1.0	1.0	100.0	0.04968126	0.04968126
Day7_rep1_A000915	Day7_rep1_P000915	Day7_rep1	7	1	sgGata3	12709.0	17269.0	1	2.0	1.0	1.0	240.0	0.04968126	0.04968126
Day7_rep1_A000930	Day7_rep1_P000930	Day7_rep1	7	1	sgGata3	8729.0	16109.0	1	2.0	1.0	1.0	20.0	0.04968126	0.04968126
Day7_rep1_A000956	Day7_rep1_P000956	Day7_rep1	7	1	sgGata3	7009.0	11989.0	1	2.0	1.0	1.0	60.0	0.33290434	0.33290434
Day7_rep1_A000980	Day7_rep1_P000980	Day7_rep1	7	1	sgGata3	4929.0	15249.0	1	2.0	1.0	1.0	220.0	0.04968126	0.04968126
Day7_rep1_A001009	Day7_rep1_P001009	Day7_rep1	7	1	sgGata3	12889.0	10869.0	1	2.0	1.0	1.0	60.0	0.04968126	0.04968126
Day7_rep1_A001021	Day7_rep1_P001021	Day7_rep1	7	1	sgGata3	5709.0	11049.0	1	2.0	1.0	1.0	320.0	0.04968126	0.04968126
Day7_rep1_A001030	Day7_rep1_P001030	Day7_rep1	7	1	sgGata3	8330.0	12129.0	1	2.0	1.0	1.0	420.0	0.04968126	0.04968126
Day7_rep2_A001638	Day7_rep2_P001638	Day7_rep2	7	2	sgGata3	4949.0	7099.0	2	1.0	1.0	0.0	280.0	0.16199337	0.16199337
Day7_rep2_A001670	Day7_rep2_P001670	Day7_rep2	7	2	sgGata3	1019.5	3909.0	2	1.0	1.0	0.0	180.0	0.16199337	0.16199337
