slice,niche_method,n_niches,response,n_source,delta,perm_p
M003,leiden_res0.6,428,score_macrophage,179,-0.0485,0.44554455445544555
M003,leiden_res0.6,428,score_fibroblast,179,0.0575,0.19801980198019803
M003,leiden_res0.6,428,score_endothelial,179,-0.0782,0.039603960396039604
M003,leiden_res0.6,428,score_hypoxia,179,-0.2053,0.009900990099009901
M003,leiden_res0.6,428,score_ifn_response,179,-0.0977,0.16831683168316833
M003,leiden_res1.0,437,score_malignant,179,-0.2121,0.009900990099009901
M003,leiden_res1.0,437,score_cd8_like,179,-0.0982,0.06930693069306931
M003,leiden_res1.0,437,score_macrophage,179,-0.0485,0.44554455445544555
M003,leiden_res1.0,437,score_fibroblast,179,0.0575,0.19801980198019803
M003,leiden_res1.0,437,score_endothelial,179,-0.0782,0.039603960396039604
M003,leiden_res1.0,437,score_hypoxia,179,-0.2053,0.009900990099009901
M003,leiden_res1.0,437,score_ifn_response,179,-0.0977,0.16831683168316833
